date,slot,interval,price,net_actual,q,reserve,charge,discharge,emergency,spill,soc_start,soc_end
2025-02-01,0,00:00-00:10,0.4248000000,422.0303666667,1308.4187237813,3975.0000000000,833.3333333333,0.0000000000,0.0000000000,53.0550237813,6000.0000000000,6750.0000000000
2025-02-01,1,00:10-00:20,0.4245000000,415.4073166667,1308.0550554833,4350.0000000000,833.3333333333,0.0000000000,0.0000000000,59.3144054833,6750.0000000000,7500.0000000000
2025-02-01,2,00:20-00:30,0.4269000000,410.7166666667,1309.3967199119,4725.0000000000,833.3333333333,0.0000000000,0.0000000000,65.3467199119,7500.0000000000,8250.0000000000
2025-02-01,3,00:30-00:40,0.4272000000,430.2948000000,1319.2466115302,5100.0000000000,833.3333333333,0.0000000000,0.0000000000,55.6184781969,8250.0000000000,9000.0000000000
2025-02-01,4,00:40-00:50,0.4271000000,424.4105833333,1335.9445933341,5475.0000000000,833.3333333333,0.0000000000,0.0000000000,78.2006766674,9000.0000000000,9750.0000000000
2025-02-01,5,00:50-01:00,0.4285000000,406.0516666667,516.3953231625,5475.0000000000,110.3436564959,0.0000000000,0.0000000000,0.0000000000,9750.0000000000,9849.3092908463
2025-02-01,6,01:00-01:10,0.4311000000,436.7501833333,516.7352556259,5475.0000000000,79.9850722926,0.0000000000,0.0000000000,0.0000000000,9849.3092908463,9921.2958559096
2025-02-01,7,01:10-01:20,0.4302000000,451.7976833333,506.5670542631,5475.0000000000,54.7693709297,0.0000000000,0.0000000000,0.0000000000,9921.2958559096,9970.5882897463
2025-02-01,8,01:20-01:30,0.4279000000,446.0800000000,835.2221271039,5625.0000000000,389.1421271039,0.0000000000,0.0000000000,0.0000000000,9970.5882897463,10320.8162041398
2025-02-01,9,01:30-01:40,0.4312000000,471.7663333333,509.2570413551,5625.0000000000,37.4907080217,0.0000000000,0.0000000000,0.0000000000,10320.8162041398,10354.5578413594
2025-02-01,10,01:40-01:50,0.4333000000,448.0259666667,519.5174826362,5625.0000000000,71.4915159695,0.0000000000,0.0000000000,0.0000000000,10354.5578413594,10418.9002057320
2025-02-01,11,01:50-02:00,0.4311000000,397.4033333333,525.2675840385,5625.0000000000,127.8642507052,0.0000000000,0.0000000000,0.0000000000,10418.9002057320,10533.9780313666
2025-02-01,12,02:00-02:10,0.4293000000,434.0906333333,527.5259555297,5625.0000000000,93.4353221964,0.0000000000,0.0000000000,0.0000000000,10533.9780313666,10618.0698213434
2025-02-01,13,02:10-02:20,0.4324000000,490.5609166667,529.5505083818,5625.0000000000,38.9895917151,0.0000000000,0.0000000000,0.0000000000,10618.0698213434,10653.1604538870
2025-02-01,14,02:20-02:30,0.4367000000,503.2200000000,526.5441332781,5625.0000000000,23.3241332781,0.0000000000,0.0000000000,0.0000000000,10653.1604538870,10674.1521738373
2025-02-01,15,02:30-02:40,0.4348000000,474.0728166667,523.4253073289,5625.0000000000,49.3524906623,0.0000000000,0.0000000000,0.0000000000,10674.1521738373,10718.5694154333
2025-02-01,16,02:40-02:50,0.4335000000,461.3844000000,533.2127959431,5625.0000000000,71.8283959431,0.0000000000,0.0000000000,0.0000000000,10718.5694154333,10783.2149717821
2025-02-01,17,02:50-03:00,0.4357000000,476.9416666667,544.1171816477,5625.0000000000,18.6500313532,0.0000000000,0.0000000000,48.5254836278,10783.2149717821,10800.0000000000
2025-02-01,18,03:00-03:10,0.4374000000,483.3995500000,542.1806642445,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,58.7811142445,10800.0000000000,10800.0000000000
2025-02-01,19,03:10-03:20,0.4371000000,486.6019166667,536.1409502641,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,49.5390335975,10800.0000000000,10800.0000000000
2025-02-01,20,03:20-03:30,0.4356000000,498.8483333333,530.8085962879,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,31.9602629545,10800.0000000000,10800.0000000000
2025-02-01,21,03:30-03:40,0.4353000000,518.3097333333,527.0810820758,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,8.7713487425,10800.0000000000,10800.0000000000
2025-02-01,22,03:40-03:50,0.4360000000,509.1334666667,537.5876530760,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,28.4541864094,10800.0000000000,10800.0000000000
2025-02-01,23,03:50-04:00,0.4378000000,483.6166666667,554.7738142309,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,71.1571475642,10800.0000000000,10800.0000000000
2025-02-01,24,04:00-04:10,0.4401000000,491.1868000000,559.3799520194,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,68.1931520194,10800.0000000000,10800.0000000000
2025-02-01,25,04:10-04:20,0.4389000000,504.6452833333,560.3119086783,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,55.6666253450,10800.0000000000,10800.0000000000
2025-02-01,26,04:20-04:30,0.4364000000,505.5783333333,568.3426413489,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,62.7643080156,10800.0000000000,10800.0000000000
2025-02-01,27,04:30-04:40,0.4393000000,503.2309666667,575.6619808639,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,72.4310141973,10800.0000000000,10800.0000000000
2025-02-01,28,04:40-04:50,0.4422000000,502.8467500000,574.3522593031,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,71.5055093031,10800.0000000000,10800.0000000000
2025-02-01,29,04:50-05:00,0.4395000000,499.6416666667,567.1645159633,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,67.5228492967,10800.0000000000,10800.0000000000
2025-02-01,30,05:00-05:10,0.4333000000,488.7835833333,568.6923835498,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,79.9088002165,10800.0000000000,10800.0000000000
2025-02-01,31,05:10-05:20,0.4439000000,498.5154333333,582.5752204848,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,84.0597871515,10800.0000000000,10800.0000000000
2025-02-01,32,05:20-05:30,0.4301000000,529.2233333333,589.7091506880,5625.0000000000,0.0000000000,0.0000000000,0.0000000000,60.4858173547,10800.0000000000,10800.0000000000
2025-02-01,33,05:30-05:40,0.3713000000,547.4103166667,1416.5835550687,6000.0000000000,0.0000000000,0.0000000000,0.0000000000,869.1732384020,10800.0000000000,10800.0000000000
2025-02-01,34,05:40-05:50,0.5708000000,531.1811666667,587.0948702486,6000.0000000000,0.0000000000,0.0000000000,0.0000000000,55.9137035820,10800.0000000000,10800.0000000000
2025-02-01,35,05:50-06:00,0.9099000000,510.9833333333,0.0000000000,5667.3966989378,0.0000000000,510.9833333333,0.0000000000,0.0000000000,10800.0000000000,10232.2407407407
2025-02-01,36,06:00-06:10,0.9368000000,535.1871833333,0.0000000000,5338.1805255679,0.0000000000,535.1871833333,0.0000000000,0.0000000000,10232.2407407407,9637.5883148148
2025-02-01,37,06:10-06:20,0.8758000000,533.3553333333,0.0000000000,5015.2466110307,0.0000000000,533.3553333333,0.0000000000,0.0000000000,9637.5883148148,9044.9712777778
2025-02-01,38,06:20-06:30,0.8759000000,504.5200000000,0.0000000000,4690.6114791060,0.0000000000,504.5200000000,0.0000000000,0.0000000000,9044.9712777778,8484.3935000000
2025-02-01,39,06:30-06:40,0.8601000000,519.5536833333,0.0000000000,4355.4150122463,0.0000000000,519.5536833333,0.0000000000,0.0000000000,8484.3935000000,7907.1116296296
2025-02-01,40,06:40-06:50,0.8442000000,551.4800833333,0.0000000000,4013.5865280931,0.0000000000,551.4800833333,0.0000000000,0.0000000000,7907.1116296296,7294.3559814815
2025-02-01,41,06:50-07:00,0.8334000000,552.0416666667,0.0000000000,3672.5528505030,0.0000000000,552.0416666667,0.0000000000,0.0000000000,7294.3559814815,6680.9763518519
2025-02-01,42,07:00-07:10,0.8092000000,514.5580500000,0.0000000000,3347.9525784421,0.0000000000,514.5580500000,0.0000000000,0.0000000000,6680.9763518519,6109.2451851852
2025-02-01,43,07:10-07:20,0.7972000000,447.9085500000,0.0000000000,3048.5435956517,0.0000000000,447.9085500000,0.0000000000,0.0000000000,6109.2451851852,5611.5690185185
2025-02-01,44,07:20-07:30,0.7644000000,389.4241666667,0.0000000000,2777.5577881603,0.0000000000,389.4241666667,0.0000000000,0.0000000000,5611.5690185185,5178.8755000000
2025-02-01,45,07:30-07:40,0.6899000000,377.6537500000,0.0000000000,2539.6828183355,0.0000000000,377.6537500000,0.0000000000,0.0000000000,5178.8755000000,4759.2602222222
2025-02-01,46,07:40-07:50,0.8600000000,361.1613500000,0.0000000000,2322.9428632518,0.0000000000,361.1613500000,0.0000000000,0.0000000000,4759.2602222222,4357.9698333333
2025-02-01,47,07:50-08:00,1.1617000000,299.9229166667,0.0000000000,2117.0357019264,0.0000000000,299.9229166667,0.0000000000,0.0000000000,4357.9698333333,4024.7221481481
2025-02-01,48,08:00-08:10,1.1683000000,202.2262333333,0.0000000000,1941.3797654356,0.0000000000,202.2262333333,0.0000000000,0.0000000000,4024.7221481481,3800.0263333333
2025-02-01,49,08:10-08:20,1.0956000000,129.7926000000,0.0000000000,1802.6582529569,0.0000000000,129.7926000000,0.0000000000,0.0000000000,3800.0263333333,3655.8123333333
2025-02-01,50,08:20-08:30,1.0849000000,86.2845833333,0.0000000000,1687.0029886607,0.0000000000,86.2845833333,0.0000000000,0.0000000000,3655.8123333333,3559.9405740741
2025-02-01,51,08:30-08:40,1.0610000000,35.9691500000,0.0000000000,1589.7134076868,0.0000000000,35.9691500000,0.0000000000,0.0000000000,3559.9405740741,3519.9748518519
2025-02-01,52,08:40-08:50,1.0430000000,62.4539333333,0.0000000000,1506.0146595193,0.0000000000,62.4539333333,0.0000000000,0.0000000000,3519.9748518519,3450.5815925926
2025-02-01,53,08:50-09:00,1.0360000000,115.1766666667,0.0000000000,1430.8964751150,0.0000000000,115.1766666667,0.0000000000,0.0000000000,3450.5815925926,3322.6075185185
2025-02-01,54,09:00-09:10,1.0147000000,45.8241166667,0.0000000000,1370.4259315238,0.0000000000,45.8241166667,0.0000000000,0.0000000000,3322.6075185185,3271.6918333333
2025-02-01,55,09:10-09:20,0.9922000000,-31.3605000000,0.0000000000,1334.4932916706,31.3605000000,0.0000000000,0.0000000000,0.0000000000,3271.6918333333,3299.9162833333
