date,plan_cost,up_cost,down_net_cost,emergency_cost,total_cost,inventory_adjusted_cost,plan_kwh,final_kwh,emergency_kwh,up_kwh,down_kwh,spill_kwh,soc_start,soc_end,balance_error,dynamics_error,soc_min,soc_max
2025-02-01,23766.5401679577,0.0000000000,-1084.9832245449,0.0000000000,22681.5569434128,22534.2073796920,44945.8823612059,41637.0745872555,0.0000000000,0.0000000000,3308.8077739504,3154.0741791939,1520.6548179639,1877.8177787736,0.0000000000,0.0000000000,1459.0442974103,10800.0000000000
2025-02-02,57184.9945158083,0.0000000000,-1956.0151796753,1013.6919571953,56242.6712933282,56308.8459348891,90512.2984595647,85130.8749123921,145.4438728270,0.0000000000,5381.4235471727,2732.3021432021,1877.8177787736,1717.4160082249,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-03,58110.8328215996,348.1469292097,-1987.3458866119,281.8252046000,56753.4590687974,56658.6525613577,92107.1201333747,86677.7957846781,66.6117070882,187.7525345783,5617.0768832748,1764.0573503553,1717.4160082249,1947.2190157543,0.0000000000,0.0000000000,1350.0000000000,10800.0000000000
2025-02-04,59971.0420899314,0.0000000000,-2472.2099269372,82.9869186224,57581.8190816166,57759.7152635743,94162.1529313047,87817.0145647586,39.5364071569,0.0000000000,6345.1383665461,2474.4171799531,1947.2190157543,1516.0136191425,0.0000000000,0.0000000000,1208.2339479993,10800.0000000000
2025-02-05,55995.0014282226,231.3998047104,-870.4299900614,89.3151981097,55445.2864409813,55399.4238337155,88839.6960232645,86821.4133626785,12.8032107382,183.7082638447,2201.9909244307,1410.9060609904,1516.0136191425,1627.1807253617,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-06,60153.0821152153,418.5865656753,-3039.1775923749,285.7538500510,57818.2449385668,57733.8644211326,94661.5407155433,86473.1536854622,52.4471734363,217.3479930399,8405.7350231211,1608.6541170531,1627.1807253617,1831.7120092044,0.0000000000,0.0000000000,1550.2127453898,10800.0000000000
2025-02-07,22840.4292409037,0.0000000000,-1105.4970585384,892.1389548534,22627.0711372187,22732.3917370454,43857.8612623967,39989.6908209111,165.0390572983,0.0000000000,3868.1704414855,4918.1995945940,1831.7120092044,1576.4237252184,0.0000000000,0.0000000000,1316.2750505456,10800.0000000000
2025-02-08,19137.7420101576,835.4639640788,0.0000000000,0.0000000000,19973.2059742364,19910.5422784884,37100.4286400238,37655.3955549867,0.0000000000,554.9669149629,0.0000000000,2330.7251800389,1576.4237252184,1728.3152581386,0.0000000000,0.0000000000,1264.0583646793,10800.0000000000
2025-02-09,55500.8298563267,425.2655412875,-805.9297905191,0.0000000000,55120.1656070951,55229.8714183356,88093.8029069990,86275.2477486550,0.0000000000,357.7486466744,2176.3038050183,2628.1391980751,1728.3152581386,1462.3975901709,0.0000000000,0.0000000000,1274.2649464188,10800.0000000000
2025-02-10,52481.7968988710,7.7737075814,-1499.9716148864,187.6353726110,51177.2343641770,51256.5042109029,84028.4823657568,79759.8806304033,49.4148179198,5.5321004707,4274.1338358242,1203.0174415372,1462.3975901709,1270.2541426802,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-11,53555.5261345269,0.0000000000,-2204.7946370213,5162.0217561103,56512.7532536159,56443.2737057410,85307.5142025036,79700.9353672300,972.2035745930,0.0000000000,5606.5788352736,766.1899511048,1270.2541426802,1438.6667284261,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-12,53317.9639034264,615.8067532303,-1920.0469752370,2057.0629539706,54070.7866353903,54110.6813387180,85172.4740136200,80150.3604099134,423.8124351148,319.1306107983,5341.2442145049,854.7550102705,1438.6667284261,1341.9653198752,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-13,49308.0092234154,89.8855199161,-1109.7682694080,1087.5108104491,49375.6372843726,49349.2483366533,79870.0350400066,76803.5769385730,180.5224754223,79.3713399091,3145.8294413427,1171.1040123109,1341.9653198752,1405.9299117075,0.0000000000,0.0000000000,1200.0000000000,10800.0000000000
2025-02-14,18609.6110332078,2162.3002912234,0.0000000000,0.0000000000,20771.9113244312,20474.0035670306,36245.8823922755,37774.0932561504,0.0000000000,1528.2108638748,0.0000000000,3744.3831314832,1405.9299117075,2128.0332827296,0.0000000000,0.0000000000,1405.9299117075,10800.0000000000
